                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5986,                 1.3407,                 1.3457,                0.71399,                0.54682,                0.62563,                0.31309,                 1.7686,                 1.5485,                 1.4662,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.5931,                  1.341,                 1.3499,                0.56902,                0.64678,                0.60639,                0.32842,                 1.7185,                 1.4052,                 1.4185,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.5918,                 1.3467,                 1.3502,                0.65646,                0.64146,                0.64334,                0.32304,                 1.7789,                  1.429,                 1.4423,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.5639,                 1.3373,                 1.3371,                0.70334,                0.59497,                0.66801,                0.35607,                  1.688,                 1.4237,                 1.4184,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.5688,                 1.2818,                 1.3243,                0.65213,                0.62604,                0.65853,                0.35414,                 1.7437,                  1.398,                 1.4362,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.5609,                 1.3226,                 1.3467,                0.62295,                 0.6259,                0.61346,                0.32983,                 1.7245,                 1.4347,                 1.4357,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.5696,                 1.3049,                 1.3296,                0.63833,                0.60008,                0.62469,                0.33498,                 1.7478,                  1.401,                 1.4327,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.5639,                 1.2738,                 1.3138,                0.70054,                0.64688,                0.66051,                0.34004,                 1.7608,                 1.4027,                  1.443,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.5425,                 1.2742,                 1.3259,                0.72841,                0.60107,                0.64832,                 0.3518,                  1.712,                 1.3513,                 1.4259,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.5305,                 1.2621,                 1.3109,                0.64883,                0.63856,                0.66375,                0.35383,                 1.7691,                 1.3485,                 1.4367,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.4977,                 1.2217,                 1.2915,                 0.6866,                0.65253,                0.66853,                0.34969,                  1.741,                 1.3423,                 1.4481,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.5427,                 1.2236,                 1.3179,                0.64279,                0.61286,                0.62824,                0.32653,                 1.7656,                 1.4504,                 1.4394,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.5265,                 1.2247,                 1.2927,                0.68409,                0.62113,                0.66292,                0.35361,                 1.7211,                 1.3722,                 1.4291,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.5112,                 1.2125,                 1.3042,                0.65841,                 0.6208,                0.62093,                0.32458,                 1.7497,                 1.3587,                 1.4343,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.5232,                 1.2235,                  1.301,                0.71705,                0.60975,                0.63676,                0.33692,                 1.7568,                 1.3821,                   1.44,             0.00038178,             0.00038178,             0.00038178
