                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5474,                 1.2681,                 1.3047,                0.67637,                0.57829,                0.63891,                0.32036,                 1.7598,                  1.371,                 1.4185,             0.00024747,             0.00024747,             0.00024747
                     35,                 1.5292,                 1.2575,                 1.3005,                0.73797,                0.59704,                0.66055,                0.34034,                 1.7415,                 1.3228,                 1.4051,             0.00023334,             0.00023334,             0.00023334
                     36,                 1.5146,                  1.256,                 1.3026,                0.57001,                0.59213,                0.60193,                 0.3175,                 1.7476,                 1.3761,                 1.4043,              0.0002192,              0.0002192,              0.0002192
                     37,                 1.5091,                 1.2318,                 1.2916,                0.64408,                0.63729,                0.65464,                0.34869,                 1.7049,                 1.2855,                 1.3947,             0.00020506,             0.00020506,             0.00020506
                     38,                 1.4917,                 1.1927,                 1.2684,                 0.7656,                0.58951,                0.66856,                0.35405,                 1.7051,                 1.3033,                 1.3992,             0.00019092,             0.00019092,             0.00019092
                     39,                 1.4806,                 1.2236,                 1.2969,                 0.6698,                0.61713,                0.64868,                0.35521,                 1.6931,                 1.2913,                 1.3729,             0.00017679,             0.00017679,             0.00017679
                     40,                  1.493,                 1.1885,                 1.2849,                0.64654,                 0.6263,                0.64713,                0.34838,                 1.7184,                 1.3314,                 1.3922,             0.00016265,             0.00016265,             0.00016265
                     41,                 1.5052,                  1.197,                 1.3216,                0.61796,                0.63861,                0.64915,                 0.3486,                 1.6927,                 1.2986,                 1.3894,             0.00014851,             0.00014851,             0.00014851
                     42,                 1.4712,                 1.1392,                 1.2977,                0.68708,                0.61331,                0.65776,                0.36313,                 1.6758,                 1.2812,                 1.4031,             0.00013437,             0.00013437,             0.00013437
                     43,                 1.4687,                 1.1131,                 1.2889,                 0.6326,                0.66503,                0.66973,                0.36536,                 1.6934,                 1.2434,                 1.3897,             0.00012024,             0.00012024,             0.00012024
                     44,                 1.4551,                 1.1056,                 1.2842,                0.63892,                0.69753,                0.66243,                0.36732,                 1.6798,                  1.274,                 1.3797,              0.0001061,              0.0001061,              0.0001061
                     45,                  1.438,                  1.077,                 1.2732,                0.72771,                0.64127,                0.69257,                  0.384,                  1.678,                 1.2561,                  1.386,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                  1.426,                 1.0522,                 1.2641,                0.77378,                0.60096,                0.68469,                  0.381,                 1.6804,                 1.2353,                 1.3846,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 1.4196,                 1.0226,                 1.2627,                0.73272,                0.61444,                0.68691,                0.38171,                 1.6827,                 1.2325,                 1.3851,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                 1.4008,                 1.0054,                 1.2482,                0.71968,                0.63063,                0.69737,                 0.3808,                 1.6794,                 1.2236,                 1.3906,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                 1.3835,                 1.0104,                 1.2384,                0.65886,                0.68431,                0.70559,                 0.3841,                 1.6745,                 1.2161,                   1.38,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                 1.3834,                 1.0224,                  1.251,                0.66876,                0.66657,                0.70427,                0.38532,                 1.6792,                 1.2006,                 1.3833,             2.1277e-05,             2.1277e-05,             2.1277e-05
